course_id,course_code,course_title,units,year_level,department,is_active
201,CS101,Introduction to Computing,3,1st Year,CCIS,1
202,CS102,Computer Programming 1,3,1st Year,CCIS,1
203,CS201,Data Structures and Algorithms,3,2nd Year,CCIS,1
204,CS301,Operating Systems,3,3rd Year,CCIS,1
205,IT201,Web Development,3,2nd Year,CCIS,1
206,IT202,Database Management,3,2nd Year,CCIS,1
207,DS401,Data Science and Analytics,3,4th Year,CCIS,1
208,NET201,Computer Networks,3,2nd Year,CCIS,1
209,GEED012,Mathematics in the Modern World,3,1st Year,CCIS,1
210,DB301,Advanced Database Systems,3,3rd Year,CCIS,1
211,CS103,Computer Programming 2,3,2nd Year,CCIS,1
212,CS401,Machine Learning,3,4th Year,CCIS,1
213,DS301,Data Mining,3,3rd Year,CCIS,1
214,IAS301,Information Assurance and Security 1,3,3rd Year,CCIS,1
215,IT203,Multimedia,3,2nd Year,CCIS,1
216,DS101,Introduction to Data Science,3,1st Year,CCIS,1
217,IT301,Systems Integration and Architecture 1,3,3rd Year,CCIS,1
218,HCI201,Human Computer Interaction,3,2nd Year,CCIS,1
219,CS202,Object Oriented Programming,3,2nd Year,CCIS,1
220,IT302,Integrative Programming and Technologies 1,3,3rd Year,CCIS,1
