assignment_id,faculty_id,section_id,semester_id,performance_score,assigned_date,status,rating
1001,101,401,17,4.85,2024-08-10 09:15:00,confirmed,4.2
1002,102,403,17,4.2,2024-08-10 09:20:00,confirmed,4.3
1003,103,408,17,3.9,2024-08-10 10:05:00,confirmed,5.6
1004,104,402,17,4.75,2024-08-11 11:30:00,confirmed,4
1005,105,405,17,4.1,2024-08-11 14:00:00,confirmed,5
1006,101,401,18,5,2025-01-10 08:30:00,confirmed,4.8
1007,106,410,18,4.45,2025-01-10 09:45:00,confirmed,4.9
1008,107,409,18,4.9,2025-01-11 13:15:00,confirmed,4.6
1009,108,406,18,3.8,2025-01-12 10:00:00,confirmed,5
1010,109,411,18,4.6,2025-01-12 15:20:00,confirmed,5
1011,110,404,19,4.3,2025-08-08 09:10:00,confirmed,4
1012,111,408,19,4.15,2025-08-08 11:00:00,confirmed,4.5
1013,112,417,19,4.95,2025-08-09 14:45:00,confirmed,4.4
1014,113,414,19,3.7,2025-08-10 08:50:00,confirmed,4.8
1015,114,402,19,4.5,2025-08-10 16:30:00,confirmed,4.7
