section_id,course_id,section_name,preferred_days,preferred_time_start,preferred_time_end,room_id,semester_id,status
401,201,CS101-A,MWF,07:30:00,09:00:00,303,20,open
402,202,CS101-B,TTh,09:00:00,10:30:00,304,20,open
403,203,CS102-A,MWF,09:00:00,10:30:00,301,20,open
404,204,CS102-B,TTh,10:30:00,12:00:00,303,20,open
405,205,CS103-A,MWF,10:30:00,12:00:00,301,20,open
406,206,CS103-B,TTh,12:00:00,13:30:00,302,20,open
407,207,CS104-A,MWF,13:30:00,15:00:00,304,20,open
408,208,CS104-B,TTh,07:30:00,09:00:00,303,20,open
409,209,CS101-C,MWF,07:30:00,09:00:00,305,20,open
410,210,CS02-C,TTh,15:00:00,16:30:00,302,20,open
411,211,IT101-A,MWF,09:00:00,10:30:00,301,20,open
412,212,IT101-B,TTh,10:30:00,12:00:00,304,20,open
413,213,IT101-C,MWF,12:00:00,13:30:00,303,20,open
414,214,IT102-A,TTh,13:30:00,15:00:00,302,20,open
415,215,IT102-B,MWF,15:00:00,16:30:00,301,20,open
416,216,IT102-C,TTh,07:30:00,09:00:00,305,20,open
417,217,IT103-A,MWF,09:00:00,10:30:00,302,20,open
418,218,IT103-B,TTh,09:00:00,10:30:00,303,20,open
419,219,IT104-A,MWF,10:30:00,12:00:00,301,20,open
420,220,IT104-B,TTh,12:00:00,13:30:00,304,20,open
