semester_id,academic_year,semester_term,start_date,end_date,max_units_per_faculty,is_active
1,2016-2017,1st,8/15/16,12/20/16,21,0
2,2016-2017,2nd,1/15/17,5/30/17,21,0
3,2017-2018,1st,8/15/17,12/20/17,21,0
4,2017-2018,2nd,1/15/18,5/30/18,21,0
5,2018-2019,1st,8/15/18,12/20/18,21,0
6,2018-2019,2nd,1/15/19,5/30/19,21,0
7,2019-2020,1st,8/15/19,12/20/19,21,0
8,2019-2020,2nd,1/15/20,5/30/20,21,0
9,2020-2021,1st,8/15/20,12/20/20,21,0
10,2020-2021,2nd,1/15/21,5/30/21,21,0
11,2021-2022,1st,8/15/21,12/20/21,21,0
12,2021-2022,2nd,1/15/22,5/30/22,21,0
13,2022-2023,1st,8/15/22,12/20/22,21,0
14,2022-2023,2nd,1/15/23,5/30/23,21,0
15,2023-2024,1st,8/15/23,12/20/23,21,0
16,2023-2024,2nd,1/15/24,5/30/24,21,0
17,2024-2025,1st,8/15/24,12/20/24,21,0
18,2024-2025,2nd,1/15/25,5/30/25,21,0
19,2025-2026,1st,8/15/25,12/20/25,21,0
20,2025-2026,2nd,1/15/26,6/30/26,21,1
